Date,STATE,Unnamed: 0,V1,POC,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,STATE_CODE
2016-03,Alabama,401.3333333333333,401.3333333333333,1.3333333333333333,0.475268817204301,5.451612903225806,22.870967741935484,95.3225806451613,42101.0,1.0
2016-03,Alaska,1183.0,1183.0,1.0,0.6822580645161292,7.838709677419355,24.0,100.0,42101.0,2.0
2016-03,Arizona,13285.55,13285.55,1.0,0.5190322580645149,5.890322580645162,23.91774193548387,99.65645161290323,42101.0,4.0
2016-03,Arkansas,31425.0,31425.0,2.0,0.32903225806451625,3.5806451612903225,24.0,100.0,42101.0,5.0
2016-03,California,63974.43607305936,63974.43607305936,1.5328767123287672,0.4205936073059354,4.759817351598174,23.235616438356164,96.83287671232877,42101.0,6.0
2016-03,Colorado,92636.64130434782,92636.64130434782,1.2246376811594204,0.4750000000000003,5.510869565217392,23.242753623188406,96.85144927536231,42101.0,8.0
2016-03,Connecticut,95789.6,95789.6,1.0,0.35161290322580685,3.9290322580645163,23.83225806451613,99.30967741935484,42101.0,9.0
2016-03,Delaware,96876.0,96876.0,1.0,0.39677419354838706,4.483870967741935,23.29032258064516,97.03225806451613,42101.0,10.0
2016-03,District Of Columbia,97731.1,97731.1,1.0,0.59,6.7555555555555555,23.733333333333334,98.88888888888889,42101.0,11.0
2016-03,Florida,101032.4211663067,101032.4211663067,1.0669546436285098,0.44708423326133834,5.090712742980561,23.706263498920087,98.77969762419006,42101.0,12.0
2016-03,Georgia,1783.8196721311476,1783.8196721311476,1.0,0.6918032786885244,7.836065573770492,23.327868852459016,97.19672131147541,42101.0,13.0
2016-03,Hawaii,2659.5,2659.5,1.326086956521739,0.5760869565217394,6.434782608695652,22.532608695652176,93.93478260869566,42101.0,15.0
2016-03,Idaho,3656.3333333333335,3656.3333333333335,1.0,0.4193548387096773,4.666666666666667,23.838709677419356,99.33333333333333,42101.0,16.0
2016-03,Illinois,4671.171052631579,4671.171052631579,1.0,0.3500000000000001,3.8421052631578947,23.236842105263158,96.82894736842105,42101.0,17.0
2016-03,Indiana,5954.4078947368425,5954.4078947368425,1.0,0.4184210526315787,4.631578947368421,23.67105263157895,98.63815789473684,42101.0,18.0
