,Year,STATE,yearly_aqi_value,Date_Keys,DM8CO_Concentration
10,2016,Georgia,8.311988589797835,5.5,0.732487207369359
61,2017,Georgia,7.252880713724843,17.5,0.6369080713183318
112,2018,Georgia,6.768542583335503,29.5,0.5991717273295322
163,2019,Georgia,7.046986199651457,41.5,0.6186765947270311
214,2020,Georgia,6.97769744160178,53.5,0.6160641453466815
